issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
130,september,1991,brandon chapman,bs disaster,transition,miniramp,,,,,,
131,october,1991,ray barbee,fs kickflip,bank,,,,,first flip trick?,,
132,november,1991,eric dressen,nose bonk tail grab,gap,,,LA Courthouse,Los Angeles CA,,,
133,december,1991,danny way,mute to fakie,transition,halfpipe,,back to the city,"San Francisco, CA",almost soty cover,,
134,january,1992,wade speyer,ollie tuck knee,gap,bump to gap,,,,,,
135,february,1992,eric britton,fs nosegrind,rail,handrail,3,,,first handrail grind,,
136,march,1992,chet thomas,shifty ollie,gap,,,,,,,
137,april,1992,ronnie bertino,fs noseblunt,ledge,,,golden gate park fountain,"San Francisco, CA",,,
138,may,1992,tom knox,ollie,gap,,,,,other tom knox,,
139,june,1992,pat duffy,fs 180 nosegrind,rail,handrail,,,,,,
140,july,1992,remy stratton,tailgrab to fakie,transition,halfpipe,,,,ice t killed vert?,,
141,august,1992,sean sheffey,heelflip shuv it,gap,,,demo,,suspicious,,
142,september,1992,jovontae turner,bs heelflip,gap,,,Embarcadero,"San Francisco, CA",,,
143,october,1992,daniel powell ESQ,fs noseblunt,ledge,hubba,,,,suspicious,,
144,november,1992,alphonso rawls,bs smith,ledge,,,,,awesome,,
145,december,1992,mike carroll,bs crook,ledge,hubba,6,Hubba Hideout,"San Francisco, CA",worst crop of all time,,
146,january,1993,tim brauch,bs crook,ledge,trash can,,,,,,
147,february,1993,jeff pang,shifty ollie,gap,,,Brooklyn Banks,"New York City, NY",,,
148,march,1993,rick ibaseta,bs 5050,rail,,,,,sick,,
149,april,1993,john cardiel,shifty ollie,gap,bump to bump,,,,ring of fire - first soty cover,,soty
150,may,1993,julien stranger,bs lipslide,ledge,out ledge,5,,"San Francisco, CA",,,
151,june,1993,mark gonzales,fs ollie,transition,halfpipe,,max's ramp,Oakland,,,
152,july,1993,henry sanchez,heelflip to fs noseslide,ledge,,,,,first ledge combo,,
153,august,1993,"joe sierro, jason adams, justin ortiz",,art,,,,,,,
154,september,1993,karma tsocheff,fs 180 nosegrind to regular,rail,handrail,4,,,,,
155,october,1993,,,art,tombstone,,,,,,
156,november,1993,rick howard,sw tre flip,bank,,,Beryl Banks,"Redondo Beach, CA",first switch cover?,,
157,december,1993,eric koston,fs kickflip,gap,bump to gap,,,,,,
158,january,1994,carl shipman,fs blunt,ledge,hubba,6,Hubba Hideout,"San Francisco, CA",,,
159,february,1994,salman agah,soty,portrait,,,,,,,soty
160,march,1994,jason adams,kickflip to fakie,bank,ditch,,,,,,
161,april,1994,jaime reyes,tre flip to fakie,bank,,,,Hawaii,woman,,
162,may,1994,,,art,gonz,,,,,,
163,june,1994,mike frazier,kickflip to mute,transition,halfpipe,,andy's ramp,Oakland,,,
164,july,1994,jaya bonderov,fs nosegrind,ledge,,,,"San Francisco, CA",,,
165,august,1994,matt pailes,ollie,gap,,,,,photoshop nighmare,,
166,september,1994,andy roy,lien air,transition,halfpipe,,,,,,
167,october,1994,bob burnquist,fs air,transition,halfpipe,,,,,,
168,november,1994,alan peterson,ollie,stairs,triple set,3 flat 3 flat 3,Santa Monica Triple Set,"Santa Monica, CA",first big set,,
169,december,1994,wade speyer,method,transition,bowl,,Marseilles Skatepark,"Marseilles, France",,,
170,january,1995,mike conway,bs noseslide,rail,handrail,10,,,,,
171,february,1995,fred gall,sw fs 5-0,ledge,hubba,6,Hubba Hideout,"San Francisco, CA",,,
172,march,1995,mike carroll,fs tailslide,ledge,,,Bay Blocks,"San Francisco, CA",,,soty
173,april,1995,,,art,,,,,,,
174,may,1995,max schaaf,half cab,transition,halfpipe,,jake's ramp,"San Francisco, CA",,,
175,june,1995,ethan fowler,sw bs wallride,wall,,,Ft. Mason,"San Francisco, CA",,,
176,july,1995,,,art,longboard,,,,,,
177,august,1995,phil shao,fs smith,transition,pool,,,,,,
178,september,1995,moses itkonen,sw fs tailslide,ledge,,,,,,,
179,october,1995,chad muska,fs 5-0,rail,handrail,9,Brooklyn Banks,"New York City, NY",,,
180,november,1995,quim cardona,fs indie,hip,,,,"New York City, NY",,,
181,december,1995,mike bouchard,fs nosegrind,ledge,,,LOVE Park,"Philadelphia, PA",,,
182,january,1996,"salman agah, rodney mullen, tommy guerrero, ray barbee, tony hawk, duane peters, mike carroll",,multiphoto,,,,,,,
183,february,1996,justin strubing,fs salad,ledge,,,,,,,
184,march,1996,ron whaley,fs indie,gap,over car,,,"San Francisco, CA",,,
185,april,1996,,,art,,,,,,,
186,may,1996,coco santiago,fs thruster,transition,fullpipe,,,,,,
187,june,1996,karma tsocheff,bs shifty,gap,bump to gap,,,,,,
188,july,1996,phil shao,fs 5-0,rail,bump to rail,,Fort Miley,"San Francisco, CA",,,
189,august,1996,eric dressen,fs thruster,transition,bowl,,,,,,
190,september,1996,,,art,,,,,,,
191,october,1996,mark hubbard,bs ollie,transition,bowl,,,,,,
192,november,1996,mike york,fs blunt to fakie,rail,,,,Berkeley,,,
193,december,1996,sean sheffey,fs 5050,rail,bump to rail,,,,,,
194,january,1997,danny gonzales,melon,gap,,,,"San Francisco, CA",,,
195,february,1997,scott johnston,bs crook,rail,,,,,,,
196,march,1997,eric koston,fs noseblunt,ledge,hubba,8,Venice Beach,"Venice, CA",,,soty
197,april,1997,mark gonzales,pole jam to fakie,rail,,,,,questionable,,
198,may,1997,quim cardona,fs ollie,hip,,,,,,,
199,june,1997,chico brenes,bs tailslide,ledge,,,Bay Blocks,"San Francisco, CA",,,
200,july,1997,wade speyer,fs indie,transition,pool,,,,,,
201,august,1997,bobby puleo,bs nosegrind,ledge,,,,,,,
202,september,1997,danny way,bs noseblunt,ledge,car,,,,,,
203,october,1997,keith hufnagel,ollie,gap,,,,,,,
204,november,1997,jeremy wray,ollie,gap,flat gap,,water tower gap,,important,,
205,december,1997,brian anderson,fs tailslide,ledge,hubba,12,,,,,
206,january,1998,,bs crook,art,pushead,,,,,,
207,february,1998,pat duffy,kickflip,stairs,,8,,,,,
208,march,1998,peter hewitt,fs invert,transition,park,,,"Quito, Equador",,,
209,april,1998,bob burnquist,ollie,gap,,,,"San Francisco, CA",,,soty
210,may,1998,willy santos,fs feeble,rail,handrail,7,,,,,
211,june,1998,mike carroll,fs crook,ledge,,,,"San Francisco, CA",,,
212,july,1998,ethan fowler,tre flip,gap,bump to gap,,petaluma skatepark,,,,
213,august,1998,bam margera,bs grind,transition,park,,FDR,"Philadelphia, PA",,,
214,september,1998,mark johnson,sw fs heelflip,gap,bump to gap,,,,,,
215,october,1998,wade speyer & daewon song,,portrait,,,,,hard,,
216,november,1998,john cardiel,fs air,gap,bump to bump,,,,,,
217,december,1998,cairo foster,bs crook,ledge,,,,,,,
218,january,1999,richard mulder,sw ollie,gap,bump to gap,,,,,,
219,february,1999,geoff rowley,fs boardslide,rail,handrail,16,Hollywood High,"Hollywood, CA",first big rail,,
220,march,1999,rick howard,bs crook,rail,,,,,,,
221,april,1999,andrew reynolds,fs blunt,rail,handrail,8,,Florida,,,soty
222,may,1999,jerry hsu,sw heelflip,gap,over rail,,,,,,
223,june,1999,jeff lenoce,fs 5-0,ledge,hubba,10,,,,,
224,july,1999,marcus mcbride,ollie,gap,bump to gap,,,,,,
225,august,1999,jamie thomas,sw fs lipslide,rail,handrail,9,Arco,"Los Angeles, CA",,,
226,september,1999,royce nelson,transfer,transition,bowl,,alameda skatepark,,,,
227,october,1999,kerry getz,kickflip to lien air,transition,park,,demo,,,,
228,november,1999,richard paez,alley oop nollie,transition,halfpipe,,,,,,
229,december,1999,mark scott,fs air,transition,bowl,,,,,,
230,january,2000,steve caballero,fs air,transition,bowl,,,,vintage photo,,
